ID	Plumage	PlumageColor	Species_Latin	Shape	name	value	centered_value	scaled_value	axis	Analysis
120_CC_UNK_ENG_F	grey	#000000	C. canorus	21	PC1	0.0775531	0.2978651	0.961414952899995	1	Autosomes
120_CC_UNK_ENG_F	grey	#000000	C. canorus	21	PC2	0.0957924	0.4565104	0.962269766657532	2	Autosomes
120_CC_UNK_ENG_F	grey	#000000	C. canorus	21	PC3	0.00253529	0.26280729	0.388433759692099	3	Autosomes
120_CC_UNK_ENG_F	grey	#000000	C. canorus	21	PC4	-0.00221776	0.54060824	0.459262710237342	4	Autosomes
120_CC_UNK_ENG_F	grey	#000000	C. canorus	21	PC5	-0.00543109	0.64745191	0.729019741857174	5	Autosomes
120_CC_UNK_ENG_F	grey	#000000	C. canorus	21	PC6	-0.00240204	0.56646996	0.507667812601942	6	Autosomes
380_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC1	-0.216213	0.00409900000000002	0.0132302840847655	1	Autosomes
380_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC2	0.00029111	0.36100911	0.760964376804873	2	Autosomes
380_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC3	0.344918	0.60519	0.894481378458191	3	Autosomes
380_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC4	0.131433	0.674259	0.572802988984999	4	Autosomes
380_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC5	0.031104	0.683987	0.77015762633809	5	Autosomes
380_CO_PLW_RUS_F	grey	#000000	C. optatus	24	PC6	0.170591	0.739463	0.66270339156214	6	Autosomes
283_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC1	0.0886646	0.3089766	0.99727938364112	1	Autosomes
283_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC2	-0.296862	0.063856	0.134600872662886	2	Autosomes
283_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC3	0.00214065	0.26241265	0.387850474887006	3	Autosomes
283_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC4	5.50831e-05	0.5428810831	0.461193557762067	4	Autosomes
283_CC_UNK_RUS_F	grey	#000000	C. canorus	21	PC5	0.00149378	0.65437678	0.736817026662148	5	Autosomes
