ID	IDtree	Analysis_Dataset	Group	IDNumber	Species	Species_Latin	Shape	Country	Sex	MeanCoverage	MedianCoverage	Plumage	CanorusDiverged	JPlumageColor	PlumageColor	Longitude	Latitude	Source	Isolate	Sampling_Date	SRA_Biosample	SRA_Runs	Aligned_Reads_Million	Sequencing_Output_Gb	Aligned_Gb	Aligned_Gb_Percent
310_CO_ACW_RUS_F	310_CO_rufous	B	OH	310	CO	C. optatus	24	RUS	F	14.47	14	rufous	NA	#e78f41	#F4ED66	88.96667	62.28333	blood	Co-018.3	15-Mar-20	SAMN18559756	SRR14117628,SRR14117626	144.056712	21.75267	21.3403028	0.981042916
330_CO_SCC_RUS_F	330_CO_rufous	B	OH	330	CO	C. optatus	24	RUS	F	13.95	13	rufous	NA	#e78f41	#F4ED66	60.53333	56.8	blood	Co-043	16-Aug-20	SAMN18559776	SRR14117596,SRR14117595	139.956346	21.13351	20.71009968	0.979964979
357_CO_YBW_RUS_F	357_CO_rufous	B	OH	357	CO	C. optatus	24	RUS	F	13.41	12	rufous	NA	#e78f41	#F4ED66	174.1	64.3	muscle	2137	17-Jun-06	SAMN18559803	SRR14117618,SRR14117617	137.39349	20.79469	20.2127371	0.972014351
382_CO_PLW_RUS_F	382_CO_rufous	B	OH	382	CO	C. optatus	24	RUS	F	13.04	11	rufous	NA	#e78f41	#F4ED66	143.2333	51.31667	muscle	2931	18-Jul-09	SAMN18559828	SRR14117578	134.000608	20.31361	19.70893348	0.970232936
400_CO_SCC_RUS_F	400_CO_rufous	B	OH	400	CO	C. optatus	24	RUS	F	10.57	9	rufous	NA	#e78f41	#F4ED66	51.33333	56.18333	muscle	1183	7-Jun-03	SAMN18559846	SRR14117667	111.24832	16.87009	16.37187144	0.970467344
401_CO_SCC_RUS_F	401_CO_rufous	B	OH	401	CO	C. optatus	24	RUS	F	9.82	9	rufous	NA	#e78f41	#F4ED66	51.33333	56.18333	muscle	1182	8-Jun-03	SAMN18559847	SRR14117665	100.017058	15.12004	14.60134603	0.965694934
252_CC_SRT_RUS_F	252_CC_grey	C	BG	252	CC	C. canorus	21	RUS	F	13.85	13	grey	Canorus_Diverged	#000000	#338FB4	88.96667	62.28333	blood	Cc-007.3	29-Jan-20	SAMN18559698	SRR14117526	148.268398	22.40046	21.97402702	0.980963204
276_CC_UNK_RUS_F	276_CC_grey	C	BG	276	CC	C. canorus	21	RUS	F	13.48	11	grey	Canorus_Diverged	#000000	#338FB4	177.05	62.53333	muscle	428	8-Jun-14	SAMN18559722	SRR14117557	147.954368	22.41282	21.70265929	0.968314531
277_CC_UNK_RUS_F	277_CC_grey	C	BG	277	CC	C. canorus	21	RUS	F	13.44	13	grey	Canorus_Diverged	#000000	#338FB4	176.6167	62.43333	muscle	617	21-Jun-17	SAMN18559723	SRR14117555,SRR14117554	136.338928	20.57441	20.18809997	0.981223762
432_CC_UNK_IRA_F	432_CC_grey	C	CG	432	CC	C. canorus	21	IRA	F	8.05	8	grey	NA	#000000	#000000	49.41222222	37.08388889	Toepad	SG0828	3-May-27	NA	NA	149.987052	23.34682	10.35177729	0.443391318
435_CC_UNK_UKR_F	435_CC_grey	C	CG	435	CC	C. canorus	21	UKR	F	7.81	7	grey	NA	#000000	#000000	34.6	44.76666667	Toepad	SG0831	19-April-1896	NA	NA	110.880604	16.84305	9.956599492	0.591139936
437_CC_UNK_MAC_F	437_CC_grey	C	CG	437	CC	C. canorus	21	MAC	F	6.83	6	grey	NA	#000000	#000000	22.56027778	41.3175	Toepad	SG0833	21-Apr-18	NA	NA	98.80542	15.0312	8.696835324	0.578585564
438_CC_UNK_RUS_F	438_CC_grey	C	CG	438	CC	C. canorus	21	RUS	F	8.35	8	grey	NA	#000000	#000000	43.61888889	43.49805556	Toepad	SG0834	1-May-01	NA	NA	148.601514	23.52463	10.77120869	0.45786942
442_CC_UNK_RUS_F	442_CC_grey	C	CG	442	CC	C. canorus	21	RUS	F	7.44	6	grey	NA	#000000	#000000	47.56166667	43.59527778	Toepad	SG0838	1-Mar-03	NA	NA	143.101106	21.91844	9.479302089	0.432480692
444_CC_UNK_MON_F	444_CC_grey	C	CG	444	CC	C. canorus	21	MON	F	8.09	8	grey	NA	#000000	#000000	28.98916667	46.88444444	Toepad	SG0840	10-May-10	NA	NA	158.49726	24.26028	10.3340814	0.425967112
431_CC_UNK_EST_F	431_CC_rufous	C	CH	431	CC	C. canorus	21	EST	F	8.87	8	rufous	NA	#e78f41	#e78f41	26.39	58.13611111	Toepad	SG0827	19-April-1896	NA	NA	156.645302	23.96846	11.27511381	0.470414612
433_CC_UNK_CHN_F	433_CC_rufous	C	CH	433	CC	C. canorus	21	CHN	F	8.3	8	rufous	NA	#e78f41	#e78f41	96	36	Toepad	SG0829	30-May-30	NA	NA	134.701066	20.53271	10.64551296	0.518466046
434_CC_UNK_UKR_F	434_CC_rufous	C	CH	434	CC	C. canorus	21	UKR	F	8.25	8	rufous	NA	#e78f41	#e78f41	34.6	44.76666667	Toepad	SG0830	3-May-58	NA	NA	139.295988	21.22278	10.76856964	0.507406176
436_CC_UNK_ROM_F	436_CC_rufous	C	CH	436	CC	C. canorus	21	ROM	F	6.01	6	rufous	NA	#e78f41	#e78f41	23.71666667	46.3	Toepad	SG0832	19-April-1896	NA	NA	117.105126	17.93372	7.69270295	0.428951882
439_CC_UNK_RUS_F	439_CC_rufous	C	CH	439	CC	C. canorus	21	RUS	F	7.05	6	rufous	NA	#e78f41	#e78f41	43.61888889	43.49805556	Toepad	SG0835	1-May-01	NA	NA	129.41535	19.7996	8.937148665	0.451380264
440_CC_UNK_RUS_F	440_CC_rufous	C	CH	440	CC	C. canorus	21	RUS	F	7.61	7	rufous	NA	#e78f41	#e78f41	43.61888889	43.49805556	Toepad	SG0836	2-May-01	NA	NA	130.75157	19.95066	9.744037917	0.488406795
441_CC_UNK_RUS_F	441_CC_rufous	C	CH	441	CC	C. canorus	21	RUS	F	6.17	6	rufous	NA	#e78f41	#e78f41	43.61888889	43.49805556	Toepad	SG0837	3-May-01	NA	NA	128.016932	19.65709	7.8730555	0.400519889
443_CC_UNK_RUS_F	443_CC_rufous	C	CH	443	CC	C. canorus	21	RUS	F	6.63	6	rufous	NA	#e78f41	#e78f41	20.85444444	55.15222222	Toepad	SG0839	8-May-16	NA	NA	119.943312	18.46009	8.398077669	0.454931567
445_CC_UNK_TOG_F	445_CC_rufous	C	CH	445	CC	C. canorus	21	TOG	F	7.74	7	rufous	NA	#e78f41	#e78f41	0.470833333	10.35916667	Toepad	SG0841	1895 - 1902	NA	NA	141.726622	21.67427	9.885588484	0.456097875
327_CO_SCC_RUS_F	327_CO_mixed	C	OM	327	CO	C. optatus	24	RUS	F	13.93	13	mixed	NA	grey60	#F7F7F7	61.38333	57.01667	growing_feather	Co-039	23-Jun-18	SAMN18559773	SRR14117600	152.09342	22.9943	22.43175492	NA
